sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
masculino;industria;fabrica de calzado;la milagrosa;3;9.0;19/05/2017;7000000.0;microempresarial
femenino;servicio;distribuidora de ;robledo;2;7.0;5/09/2016;5000000.0;microempresarial
masculino;comercio;legumbreria;la floresta;1;12.0;29/03/2016;4000000.0;microempresarial
femenino;comercio;charcuteria;manrique central no. 1;3;4.0;19/10/2016;3000000.0;microempresarial
masculino;servicio;cafe e internet;enciso;2;8.0;9/04/2018;7800000.0;microempresarial
masculino;comercio;variedades;prado;3;10.0;2/06/2017;7370000.0;microempresarial
femenino;servicio;peluqueria;cabecera san antonio ;2;80.0;3/08/2018;1300000.0;microempresarial
femenino;industria;fabrica de ;20 de julio;1;13.0;18/08/2017;3300000.0;microempresarial
femenino;industria;fabrica de ;campo valdes no. 1;3;4.0;22/06/2018;4000000.0;microempresarial
femenino;servicio;peluqueria;aranjuez;2;4.0;17/11/2016;6800000.0;microempresarial
masculino;servicio;lavanderia;villatina;1;8.0;5/04/2019;2500000.0;microempresarial
femenino;industria;fabrica de ;el salvador;3;9.0;15/07/2016;3200000.0;microempresarial
femenino;comercio;restaurante;el corazon;2;13.0;5/10/2016;6800000.0;microempresarial
femenino;comercio;tienda;carpinelo;1;1.0;21/11/2018;7800000.0;microempresarial
masculino;comercio;variedades;boston;3;10.0;8/06/2018;6000000.0;microempresarial
masculino;comercio;lavanderia;cordoba;3;7.0;7/04/2017;7000000.0;microempresarial
femenino;comercio;variedades;playon de los ;2;2.0;6/06/2018;3000000.0;microempresarial
femenino;comercio;distribuidora de ;boston;3;10.0;7/05/2018;7800000.0;microempresarial
masculino;industria;fabrica de ;villa hermosa;3;8.0;6/08/2018;7800000.0;microempresarial
masculino;industria;fabrica de muebles;popular;2;1.0;14/06/2018;7000000.0;microempresarial
masculino;comercio;productos de belleza;santo domingo savio ;1;1.0;14/09/2018;2000000.0;microempresarial
masculino;comercio;restaurante;manrique central no. 1;3;4.0;5/04/2017;7377000.0;microempresarial
femenino;comercio;legumbreria;popular;1;1.0;29/08/2018;7000000.0;microempresarial
femenino;comercio;variedades;toscana;2;5.0;30/10/2018;4500000.0;microempresarial
femenino;comercio;fabrica de ;cabecera san antonio ;2;80.0;6/07/2017;1500000.0;microempresarial
femenino;comercio;variedades;la milagrosa;1;9.0;13/03/2018;7300000.0;microempresarial
masculino;comercio;tienda;belen;3;16.0;22/11/2017;7370000.0;microempresarial
femenino;comercio;distribuidora de ;pedregal;3;6.0;7/04/2017;5000000.0;microempresarial
masculino;comercio;tienda;san javier no.1;1;13.0;16/05/2018;7800000.0;microempresarial
femenino;servicio;mantenimiento en ;la america;3;12.0;2/03/2017;6000000.0;microempresarial
masculino;comercio;fabrica de helados;castilla;3;5.0;23/07/2018;7500000.0;microempresarial
femenino;comercio;almacen de ropa en ;aranjuez;3;4.0;31/05/2018;7812000.0;microempresarial
femenino;industria;fabrica de ;el rodeo;3;15.0;15/06/2017;6000000.0;microempresarial
masculino;comercio;charcuteria;doce de octubre no.1;2;6.0;8/02/2017;7000000.0;microempresarial
femenino;industria;fabrica de ;la milagrosa;3;9.0;20/12/2016;4500000.0;microempresarial
femenino;comercio;tienda;playon de los ;2;2.0;19/02/2016;6000000.0;microempresarial
masculino;industria;fabrica de ;la francia;1;2.0;6/03/2018;4000000.0;microempresarial
femenino;industria;fabrica de ;veinte de julio;2;13.0;9/02/2016;6800000.0;microempresarial
masculino;comercio;marroquineria;playon de los ;1;2.0;17/12/2018;5000000.0;microempresarial
femenino;comercio;distribuidora de ;santa cruz;2;2.0;9/05/2017;7377000.0;microempresarial
masculino;servicio;productos de belleza;robledo;2;7.0;18/01/2019;8200000.0;microempresarial
femenino;comercio;papeleria;manrique central no. 2;3;3.0;9/02/2018;7800000.0;microempresarial
masculino;comercio;fabrica de ;aranjuez;3;4.0;6/06/2019;6000000.0;microempresarial
femenino;comercio;distribuidora de ;popular;2;1.0;27/12/2017;7300000.0;microempresarial
femenino;comercio;comidas rapidas;pedregal;2;6.0;28/06/2017;7377000.0;microempresarial
masculino;comercio;comidas rapidas;santa cruz;2;2.0;12/07/2018;5000000.0;microempresarial
femenino;comercio;tienda;buenos aires;2;9.0;3/10/2018;7800000.0;microempresarial
femenino;comercio;variedades;robledo;3;7.0;8/06/2018;10000000.0;juridica y cap.semilla
femenino;comercio;tienda de helados;barrio caicedo;2;9.0;14/09/2017;5000000.0;microempresarial
femenino;comercio;comidas rapidas;castilla;3;5.0;30/01/2017;7370000.0;microempresarial
femenino;comercio;almacen de ropa en ;aranjuez;3;4.0;2/05/2018;7000000.0;microempresarial
femenino;comercio;miscelanea;llanaditas;1;8.0;17/05/2017;7377000.0;microempresarial
femenino;comercio;variedades;pedregal;3;6.0;3/10/2017;3000000.0;microempresarial
femenino;comercio;distribuidora de ;la loma;2;60.0;17/01/2018;19500000.0;microempresarial
femenino;industria;fabrica de ;altavista;2;70.0;5/09/2018;6000000.0;microempresarial
masculino;industria;fabrica de calzado;santa cruz;2;2.0;2/08/2018;6000000.0;microempresarial
femenino;comercio;comidas rapidas;cabecera san antonio ;3;80.0;9/03/2017;7377170.0;microempresarial
femenino;comercio;miscelanea;santo domingo savio ;2;1.0;24/08/2017;6000000.0;microempresarial
femenino;comercio;pañalera;buenos aires;2;9.0;31/05/2017;7370000.0;microempresarial
femenino;servicio;variedades;santa cruz;2;2.0;27/11/2017;4000000.0;microempresarial
femenino;comercio;fabrica de ;santa cruz;2;2.0;23/06/2017;7377000.0;microempresarial
femenino;industria;fabrica de ;santo domingo savio ;2;1.0;18/09/2017;7300000.0;microempresarial
masculino;industria;mantenimiento en ;picachito;1;6.0;11/05/2018;7800000.0;microempresarial
masculino;comercio;tienda;la america;3;12.0;4/10/2017;5000000.0;microempresarial
masculino;comercio;tienda;santo domingo savio ;2;1.0;5/06/2018;7800000.0;microempresarial
masculino;comercio;granero;alejandro echavarria;3;9.0;16/02/2018;7800000.0;microempresarial
femenino;comercio;comidas rapidas;barrio caicedo;2;9.0;4/12/2017;7300000.0;microempresarial
femenino;comercio;cerrajeria;moravia;2;4.0;10/07/2018;7800000.0;microempresarial
femenino;comercio;tienda;el pesebre;1;13.0;29/08/2018;5000000.0;microempresarial
masculino;comercio;comidas rapidas;popular;2;1.0;23/04/2018;6000000.0;microempresarial
femenino;servicio;restaurante;manrique central no. 2;1;3.0;26/01/2018;7800000.0;microempresarial
masculino;comercio;distribuidora de ;robledo;2;7.0;28/04/2016;6000000.0;microempresarial
femenino;comercio;tienda;manrique oriental;2;3.0;29/04/2019;6750000.0;microempresarial
masculino;comercio;almacen de ropa en ;robledo;2;7.0;6/07/2017;3500000.0;microempresarial
femenino;comercio;variedades;barrio caicedo;2;9.0;4/05/2017;63000000.0;microempresarial
masculino;comercio;variedades;robledo;2;7.0;12/07/2016;2000000.0;microempresarial
masculino;comercio;recreativo educativo;prado;2;10.0;13/05/2016;6890000.0;microempresarial
femenino;comercio;variedades;santo domingo savio ;2;1.0;27/04/2018;1200000.0;microempresarial
masculino;comercio;restaurante;enciso;2;8.0;30/01/2017;7000000.0;microempresarial
masculino;industria;fabrica de ;robledo;1;7.0;20/02/2017;7370000.0;microempresarial
femenino;comercio;variedades;belen;3;16.0;16/11/2017;6000000.0;microempresarial
femenino;comercio;comidas rapidas;juan xxiii la quiebra;1;13.0;29/11/2017;7000000.0;microempresarial
masculino;industria;fabrica de muebles;alfonso lopez;3;5.0;1/06/2017;1500000.0;microempresarial
masculino;servicio;fabrica de juegos ;cordoba;2;10.0;19/06/2019;6000000.0;microempresarial
femenino;comercio;comidas rapidas;la pradera;2;13.0;15/11/2018;6000000.0;microempresarial
femenino;comercio;comidas rapidas;manrique central no. 2;2;3.0;27/05/2019;4000000.0;microempresarial
masculino;comercio;recreativo educativo;la esperanza;1;6.0;15/06/2017;2000000.0;microempresarial
femenino;comercio;comidas rapidas;trinidad;3;15.0;14/12/2017;3000000.0;microempresarial
masculino;comercio;comidas rapidas;playon de los ;2;2.0;27/11/2018;4000000.0;microempresarial
femenino;comercio;almacen de ropa en ;palermo;2;4.0;28/11/2017;7377000.0;microempresarial
femenino;industria;fabrica de ;san javier no.1;1;13.0;20/06/2018;7800000.0;microempresarial
femenino;comercio;panaderia;trinidad;3;15.0;7/11/2017;6000000.0;microempresarial
masculino;comercio;tienda;aranjuez;3;4.0;9/04/2018;7800000.0;microempresarial
femenino;comercio;cafeteria;santo domingo savio ;2;1.0;5/09/2017;7300000.0;microempresarial
masculino;comercio;cafeteria;san javier no.1;2;13.0;3/11/2016;4000000.0;microempresarial
masculino;comercio;variedades;robledo;2;7.0;24/02/2016;6000000.0;microempresarial
masculino;comercio;miscelanea;santander;2;6.0;10/01/2017;5000000.0;microempresarial
masculino;comercio;deposito de ;manrique central no. 2;1;3.0;26/05/2016;6890000.0;microempresarial
femenino;industria;distribuidora de ;cabecera san antonio ;2;80.0;3/11/2016;3000000.0;microempresarial
femenino;comercio;comidas rapidas;castilla;3;5.0;13/12/2017;4300000.0;microempresarial
masculino;servicio;recreativo educativo;campo valdes no. 1;2;4.0;7/03/2019;6600000.0;microempresarial
masculino;comercio;comidas rapidas;belen;2;16.0;8/11/2017;4400000.0;microempresarial
femenino;industria;fabrica de ;belen;3;16.0;25/01/2017;5700000.0;microempresarial
femenino;comercio;fabrica de ;barrio caicedo;1;9.0;25/04/2018;1800000.0;microempresarial
femenino;comercio;variedades;manrique central no. 1;3;4.0;3/09/2018;7800000.0;microempresarial
masculino;comercio;tienda de helados;san javier no.1;2;13.0;19/07/2016;27000000.0;empresarial ed. 
masculino;comercio;fabrica de ;santo domingo savio ;1;1.0;26/01/2018;7300000.0;microempresarial
masculino;servicio;barberia;enciso;2;8.0;23/08/2016;6890000.0;microempresarial
femenino;comercio;almacen de ropa en ;cabecera san cristobal;3;60.0;8/11/2016;3000000.0;microempresarial
femenino;industria;variedades;campo valdes no. 1;3;4.0;26/02/2018;5000000.0;microempresarial
masculino;industria;tienda;san javier no.1;2;13.0;8/05/2019;6000000.0;microempresarial
femenino;industria;fabrica de ;enciso;1;8.0;5/12/2016;2000000.0;microempresarial
femenino;industria;fabrica de ;robledo;2;7.0;3/03/2017;7000000.0;microempresarial
femenino;industria;fabrica de ;manrique central no. 1;2;4.0;25/07/2018;7800000.0;microempresarial
femenino;comercio;variedades;cabecera san cristobal;1;60.0;22/08/2018;782000.0;microempresarial
masculino;servicio;lavanderia;castilla;3;5.0;23/11/2017;6000000.0;microempresarial
femenino;servicio;peluqueria;robledo;2;7.0;9/09/2016;5000000.0;microempresarial
masculino;comercio;restaurante;cabecera san antonio ;2;80.0;5/09/2016;6800000.0;microempresarial
femenino;comercio;fabrica de helados;barrio caicedo;2;9.0;29/08/2018;6000000.0;microempresarial
masculino;industria;fabrica de calzado;el rincon;2;16.0;15/06/2016;2000000.0;microempresarial
masculino;servicio;gimnasio;belen;3;16.0;14/06/2018;7800000.0;microempresarial
masculino;industria;recreativo educativo;enciso;2;8.0;31/03/2016;6800000.0;microempresarial
femenino;comercio;comidas rapidas;manrique oriental;2;3.0;8/08/2018;5000000.0;microempresarial
femenino;comercio;organización y ;santo domingo savio ;1;1.0;3/05/2019;8000000.0;microempresarial
femenino;industria;fabrica de ;manrique central no. 1;3;4.0;17/08/2018;3000000.0;microempresarial
masculino;comercio;tienda;manrique oriental;2;3.0;28/03/2019;2000000.0;microempresarial
masculino;servicio;restaurante;buenos aires;3;9.0;14/11/2017;30000000.0;empresarial ed. 
femenino;servicio;restaurante;popular;2;1.0;25/08/2016;6300000.0;microempresarial
masculino;servicio;tienda;aranjuez;2;4.0;21/09/2017;4400000.0;microempresarial
femenino;industria;fabrica de ;manrique central no. 1;3;4.0;26/06/2019;8200000.0;microempresarial
masculino;comercio;panaderia;francisco antonio zea;3;5.0;3/09/2018;5000000.0;microempresarial
femenino;comercio;tienda;cabecera san antonio ;2;80.0;3/01/2018;6000000.0;microempresarial
femenino;industria;fotografia;popular;2;1.0;13/02/2017;7000000.0;microempresarial
femenino;industria;fabrica de ;enciso;1;8.0;18/05/2016;5000000.0;microempresarial
femenino;industria;fabrica de ;robledo;3;7.0;7/05/2018;2000000.0;microempresarial
femenino;industria;fabrica de ;calasanz;3;12.0;26/10/2016;5000000.0;microempresarial
femenino;industria;fabrica de ;playon de los ;2;2.0;10/09/2018;7800000.0;microempresarial
masculino;servicio;peluqueria;el astillero;2;80.0;17/04/2018;5000000.0;microempresarial
masculino;comercio;fabrica de ;san javier no.1;3;13.0;26/01/2018;7812000.0;microempresarial
masculino;comercio;almacen de ropa en ;san javier no.1;1;13.0;24/07/2018;7800000.0;microempresarial
masculino;comercio;variedades;villa hermosa;2;8.0;22/03/2017;2000000.0;microempresarial
femenino;comercio;papeleria;enciso;2;8.0;10/04/2019;6000000.0;microempresarial
masculino;industria;fabrica de ;popular;2;1.0;7/03/2018;1000000.0;microempresarial
femenino;comercio;variedades;santo domingo savio ;2;1.0;13/02/2018;6000000.0;microempresarial
masculino;agropecuaria;sembrados;la milagrosa;2;9.0;6/09/2016;6890000.0;microempresarial
femenino;comercio;variedades;la milagrosa;3;9.0;24/04/2018;1000000.0;microempresarial
femenino;comercio;comidas rapidas;belen;3;16.0;10/10/2016;4000000.0;microempresarial
masculino;industria;fabrica de muebles;manrique oriental;2;3.0;24/09/2018;7000000.0;microempresarial
femenino;comercio;almacen de ropa en ;centro admtivo;3;10.0;31/10/2017;7370000.0;microempresarial
masculino;comercio;legumbreria;loreto;3;9.0;25/04/2018;4500000.0;microempresarial
masculino;comercio;licorera;20 de julio;1;13.0;30/11/2016;6890000.0;microempresarial
femenino;industria;fabrica de ;13 de noviembre;2;8.0;29/08/2018;3000000.0;microempresarial
femenino;comercio;legumbreria;doce de octubre no.1;1;6.0;17/05/2019;4500000.0;microempresarial
masculino;servicio;fabrica de ;trinidad;3;15.0;11/07/2018;7800000.0;microempresarial
femenino;comercio;comidas rapidas;manrique central no. 1;2;4.0;10/08/2017;6000000.0;microempresarial
femenino;comercio;tienda;cabecera san cristobal;2;60.0;2/05/2017;7000000.0;microempresarial
masculino;comercio;deposito de ;santo domingo savio ;1;1.0;13/02/2018;6000000.0;microempresarial
femenino;comercio;almacen de ropa en ;llanaditas;2;8.0;31/01/2018;6000000.0;microempresarial
masculino;comercio;fabrica de calzado;robledo;2;7.0;8/02/2018;5000000.0;microempresarial
femenino;comercio;variedades;san javier no.2;1;13.0;5/04/2017;3000000.0;microempresarial
femenino;comercio;variedades;popular;1;1.0;25/01/2017;6800000.0;microempresarial
masculino;industria;fabrica de ;calasanz;2;12.0;23/09/2016;6890000.0;juridica y cap.semilla
masculino;comercio;mensajeria;castilla;3;5.0;8/05/2017;7300000.0;microempresarial
femenino;comercio;peluqueria;campo valdes no. 1;3;4.0;2/02/2018;7800000.0;microempresarial
femenino;comercio;variedades;robledo;2;7.0;27/06/2018;7800000.0;microempresarial
femenino;comercio;comidas rapidas;buenos aires;2;9.0;8/11/2017;7000000.0;microempresarial
masculino;industria;fabrica de ;el triunfo;1;6.0;23/02/2017;7300000.0;microempresarial
femenino;servicio;peluqueria;buenos aires;1;9.0;12/12/2017;7377000.0;microempresarial
femenino;comercio;comidas rapidas;pablo vi;2;2.0;18/07/2017;7377000.0;microempresarial
femenino;comercio;almacen de ropa en ;belen;2;16.0;13/03/2019;5000000.0;microempresarial
femenino;industria;fabrica de ;robledo;2;7.0;31/08/2017;7300000.0;microempresarial
femenino;comercio;tienda de helados;san javier no.1;3;13.0;6/07/2017;7000000.0;microempresarial
femenino;servicio;taller de mecanica;campo valdes no. 1;3;4.0;29/12/2016;6890000.0;microempresarial
femenino;industria;fabrica de ;san javier no.1;2;13.0;7/11/2017;7300000.0;microempresarial
masculino;comercio;fabrica de alimentos;la floresta;2;12.0;2/08/2016;4000000.0;microempresarial
masculino;comercio;variedades;robledo;3;7.0;15/06/2018;7800000.0;microempresarial
masculino;agropecuaria;sembrados;cabecera san antonio ;2;80.0;24/07/2018;5000000.0;agropecuaria
masculino;comercio;variedades;san benito;1;10.0;11/10/2018;800000.0;microempresarial
masculino;servicio;gimnasio;villa del socorro;2;2.0;25/08/2017;7377000.0;microempresarial
femenino;comercio;variedades;san pablo;1;1.0;7/12/2016;6890000.0;microempresarial
femenino;industria;fabrica de ;buenos aires;3;9.0;5/07/2018;7500000.0;microempresarial
femenino;comercio;tienda;cabecera san cristobal;3;4.0;29/09/2017;4000000.0;microempresarial
femenino;comercio;comidas rapidas;parque norte;2;4.0;24/11/2016;8000000.0;microempresarial
femenino;industria;fabrica de helados;belen;3;16.0;15/02/2016;5000000.0;microempresarial
femenino;comercio;charcuteria;villa hermosa;3;8.0;11/05/2016;1500000.0;microempresarial
masculino;comercio;variedades;centro admtivo;2;10.0;17/04/2017;1200000.0;microempresarial
femenino;comercio;productos de belleza;castilla;2;5.0;18/08/2017;5000000.0;microempresarial
femenino;servicio;charcuteria;versalles no. 2;1;3.0;22/05/2017;7377000.0;microempresarial
femenino;comercio;papeleria;la milagrosa;2;9.0;29/10/2018;7800000.0;microempresarial
femenino;comercio;fabrica de ;olaya herrera;2;7.0;25/07/2018;7800000.0;microempresarial
femenino;comercio;tienda;boyaca;3;5.0;11/05/2018;5800000.0;microempresarial
femenino;comercio;almacen de ropa en ;manrique central no. 1;3;4.0;7/11/2017;7000000.0;microempresarial
femenino;comercio;almacen de ropa en ;la floresta;1;12.0;25/01/2019;2500000.0;microempresarial
masculino;comercio;fabrica de ;santo domingo savio ;1;1.0;16/02/2018;7800000.0;microempresarial
femenino;comercio;tienda de helados;cabecera san cristobal;1;60.0;14/08/2017;1500000.0;microempresarial
femenino;comercio;variedades;guayabal;3;15.0;29/09/2017;3000000.0;microempresarial
masculino;comercio;variedades;playon de los ;2;2.0;14/06/2017;7300000.0;microempresarial
femenino;comercio;variedades;san pablo;1;1.0;27/09/2017;7300000.0;microempresarial
femenino;comercio;variedades;robledo;1;7.0;18/10/2018;4000000.0;microempresarial
femenino;comercio;miscelanea;guayabal;3;15.0;3/02/2017;7000000.0;microempresarial
femenino;servicio;barberia;belen;2;16.0;20/02/2018;2000000.0;microempresarial
femenino;comercio;comidas rapidas;san javier no.1;3;13.0;1/02/2018;7800000.0;microempresarial
femenino;comercio;tienda;granizal;2;1.0;12/04/2018;6000000.0;microempresarial
femenino;industria;fabrica de ;la milagrosa;2;9.0;15/02/2016;2500000.0;microempresarial
masculino;comercio;tienda;la milagrosa;2;9.0;7/05/2019;8200000.0;microempresarial
femenino;comercio;fabrica de helados;la cruz;1;3.0;30/05/2019;4000000.0;microempresarial
femenino;industria;cafeteria;santa monica;3;12.0;23/02/2018;7800000.0;microempresarial
femenino;industria;fabrica de ;doce de octubre no.1;2;6.0;16/11/2016;6800000.0;microempresarial
femenino;industria;fabrica de calzado;barrio caicedo;2;9.0;26/04/2016;4000000.0;microempresarial
masculino;servicio;mantenimiento en ;pedregal;3;6.0;8/08/2018;6000000.0;microempresarial
masculino;comercio;almacen de ropa en ;robledo;2;7.0;12/09/2017;4000000.0;juridica y cap.semilla
femenino;comercio;tienda naturista;villa hermosa;3;8.0;17/01/2017;7370000.0;microempresarial
masculino;comercio;variedades;castilla;3;5.0;2/10/2017;3000000.0;microempresarial
femenino;comercio;fabrica de ;campo valdes no. 1;3;4.0;3/05/2019;7800000.0;microempresarial
masculino;servicio;comidas rapidas;san javier no.1;1;13.0;23/08/2017;7377000.0;microempresarial
femenino;comercio;almacen de ropa en ;belencito;2;13.0;11/10/2018;6000000.0;microempresarial
femenino;industria;fabrica de ;loreto;1;9.0;4/05/2017;5000000.0;microempresarial
masculino;industria;fabrica de ;castilla;3;5.0;19/12/2017;3000000.0;microempresarial
femenino;industria;fabrica de ;cabecera san cristobal;2;60.0;21/09/2017;4500000.0;microempresarial
femenino;comercio;fabrica de calzado;20 de julio;1;13.0;9/03/2017;6000000.0;microempresarial
femenino;comercio;fabrica de ;castilla;3;5.0;26/09/2017;7000000.0;microempresarial
femenino;comercio;miscelanea;san javier no.1;1;13.0;10/07/2018;7000000.0;microempresarial
masculino;comercio;joyeria;robledo;2;7.0;8/05/2018;7800000.0;microempresarial
masculino;agropecuaria;variedades;juan xxiii la quiebra;1;13.0;24/10/2018;1000000.0;microempresarial
femenino;servicio;tienda;enciso;2;8.0;1/06/2018;4000000.0;microempresarial
femenino;servicio;panaderia;buenos aires;3;9.0;27/04/2017;7377000.0;microempresarial
masculino;agropecuaria;sembrados;santa elena central;2;90.0;26/06/2019;7500000.0;agropecuaria
femenino;servicio;carniceria;13 de noviembre;1;8.0;6/10/2017;7370000.0;microempresarial
masculino;comercio;almacen de ropa en ;centro admtivo;3;10.0;25/11/2016;1000000.0;microempresarial
masculino;comercio;variedades;granizal;2;1.0;21/02/2018;1000000.0;microempresarial
masculino;comercio;distribuidora de ;20 de julio;2;13.0;16/08/2018;6000000.0;microempresarial
femenino;comercio;papeleria;san javier no.1;3;13.0;24/05/2018;7000000.0;microempresarial
masculino;comercio;granero;manrique central no. 1;1;4.0;13/02/2018;7000000.0;microempresarial
femenino;comercio;variedades;campo valdes no. 1;3;4.0;29/11/2017;7300000.0;microempresarial
masculino;industria;fabrica de ;guayabal;3;15.0;18/04/2017;5000000.0;microempresarial
femenino;industria;fabrica de ;enciso;1;8.0;30/06/2017;6000000.0;microempresarial
femenino;comercio;restaurante;la colina;2;15.0;24/08/2017;7000000.0;microempresarial
femenino;servicio;barberia;manrique central no. 1;3;4.0;9/11/2017;7300000.0;microempresarial
masculino;industria;fabrica de ;calasanz;1;12.0;22/05/2018;1500000.0;microempresarial
femenino;comercio;almacen de ropa en ;moravia;2;4.0;26/02/2018;4000000.0;microempresarial
masculino;comercio;fabrica de ;aranjuez;3;4.0;7/02/2018;7000000.0;microempresarial
masculino;comercio;billares;santander;3;6.0;26/04/2016;6890000.0;microempresarial
femenino;comercio;comidas rapidas;manrique central no. 1;2;4.0;6/06/2018;3000000.0;microempresarial
masculino;industria;variedades;san diego;2;10.0;29/08/2017;7370000.0;microempresarial
masculino;comercio;comidas rapidas;robledo;3;7.0;27/04/2017;7000000.0;microempresarial
masculino;comercio;distribuidora de ;santo domingo savio ;2;1.0;19/07/2017;7000000.0;microempresarial
femenino;comercio;comidas rapidas;los mangos;2;8.0;17/01/2018;2500000.0;microempresarial
masculino;servicio;recreativo educativo;belencito;2;13.0;19/02/2018;7800000.0;microempresarial
masculino;comercio;almacen de ropa en ;manrique central no. 1;3;4.0;18/01/2019;8200000.0;microempresarial
femenino;comercio;comidas rapidas;picachito;1;6.0;2/03/2017;2000000.0;microempresarial
masculino;servicio;fumigacion;alfonso lopez;3;5.0;14/03/2018;3000000.0;microempresarial
femenino;comercio;tienda;granizal;1;1.0;26/10/2017;7377000.0;microempresarial
femenino;comercio;tienda;la milagrosa;2;9.0;7/03/2018;2500000.0;microempresarial
femenino;comercio;tienda;santa cruz;2;2.0;28/09/2017;7300000.0;microempresarial
femenino;industria;fabrica de ;robledo;2;7.0;19/04/2018;4000000.0;microempresarial
femenino;industria;fabrica de ;cabecera san antonio ;3;80.0;27/09/2017;7000000.0;microempresarial
femenino;industria;fabrica de ;francisco antonio zea;2;2.0;4/09/2017;6000000.0;microempresarial
femenino;comercio;miscelanea;olaya herrera;1;7.0;3/10/2018;7000000.0;microempresarial
femenino;industria;fabrica de ;cabecera san antonio ;2;80.0;13/06/2016;6000000.0;microempresarial
masculino;comercio;restaurante;manrique central no. 2;3;3.0;21/06/2018;6000000.0;microempresarial
masculino;comercio;tienda;boyaca;1;5.0;20/01/2017;7300000.0;microempresarial
femenino;comercio;fabrica de ;andalucia;2;2.0;29/04/2019;8281160.0;microempresarial
femenino;servicio;peluqueria;la milagrosa;2;9.0;4/04/2018;3500000.0;microempresarial
masculino;industria;montallantas;la milagrosa;3;9.0;5/10/2017;6800000.0;microempresarial
masculino;comercio;almacen de ropa en ;pedregal;3;6.0;29/11/2016;3000000.0;microempresarial
femenino;comercio;fabrica de productos ;loreto;3;9.0;7/03/2018;7800000.0;microempresarial
masculino;servicio;recreativo educativo;san javier no.1;1;13.0;7/12/2016;62000000.0;microempresarial
femenino;servicio;peluqueria;loreto;2;9.0;16/11/2017;7377000.0;microempresarial
femenino;servicio;mantenimiento en ;centro admtivo;3;10.0;21/05/2018;6000000.0;microempresarial
femenino;servicio;mantenimiento en ;jesus nazareno;1;10.0;30/01/2017;4890000.0;microempresarial
masculino;industria;fabrica de ;aranjuez;3;4.0;10/02/2017;6500000.0;microempresarial
masculino;servicio;lavanderia;cabecera san cristobal;2;60.0;20/06/2018;7500000.0;microempresarial
femenino;servicio;fabrica de helados;doce de octubre no.1;2;6.0;20/02/2018;3500000.0;microempresarial
femenino;comercio;comidas rapidas;buenos aires;2;9.0;9/04/2018;2000000.0;microempresarial
masculino;comercio;fabrica de calzado;campo valdes no. 1;3;4.0;23/05/2017;5000000.0;microempresarial
femenino;servicio;peluqueria;carpinelo;1;1.0;20/03/2018;3000000.0;microempresarial
masculino;comercio;tienda;san javier no.1;2;13.0;11/07/2017;4000000.0;microempresarial
masculino;industria;sembrados;vrda. santa elena ;2;90.0;16/02/2016;5000000.0;agropecuaria
femenino;comercio;comidas rapidas;barrio caicedo;2;9.0;12/07/2017;7370000.0;microempresarial
masculino;servicio;recreativo educativo;tricentenario;3;5.0;6/04/2018;7800000.0;microempresarial
femenino;comercio;papeleria;santa cruz;2;2.0;27/09/2017;7300000.0;microempresarial
femenino;comercio;variedades;13 de noviembre;1;8.0;11/07/2017;7370000.0;microempresarial
masculino;comercio;variedades;belen;3;16.0;21/07/2017;73000000.0;microempresarial
masculino;agropecuaria;sembrados;cabecera san cristobal;2;60.0;26/07/2017;14000000.0;agropecuaria
masculino;agropecuaria;viveros ;cabecera san cristobal;2;60.0;3/03/2017;2000000.0;microempresarial
masculino;comercio;bares;santo domingo savio ;1;1.0;16/12/2016;3000000.0;microempresarial
femenino;comercio;papeleria;manrique central no. 1;2;4.0;7/09/2017;5000000.0;microempresarial
femenino;servicio;cafe e internet;moravia;2;4.0;14/09/2016;6890000.0;microempresarial
femenino;comercio;variedades;belen;2;16.0;30/10/2017;7377000.0;microempresarial
femenino;servicio;peluqueria;campo valdes no. 1;3;4.0;5/08/2016;6890000.0;microempresarial
masculino;industria;fabrica de ;santo domingo savio ;2;1.0;16/11/2017;4000000.0;microempresarial
femenino;industria;fabrica de ;pablo vi;2;2.0;28/12/2016;6890000.0;microempresarial
femenino;comercio;comidas rapidas;la avanzada;1;1.0;13/02/2019;8280000.0;microempresarial
femenino;industria;fabrica de ;san javier no.1;1;13.0;6/07/2018;5000000.0;microempresarial
femenino;industria;fabrica de ;santo domingo savio ;2;1.0;8/03/2016;4000000.0;microempresarial
masculino;agropecuaria;fumigacion;cabecera san cristobal;2;60.0;4/06/2019;2000000.0;microempresarial
femenino;comercio;almacen de ropa en ;los alcazares;3;13.0;19/10/2016;6800000.0;microempresarial
femenino;comercio;fabrica de alimentos;barrio caicedo;2;9.0;17/07/2018;7800000.0;microempresarial
masculino;servicio;barberia;boyaca;3;5.0;23/06/2017;7370000.0;microempresarial
masculino;servicio;variedades;villatina;1;8.0;9/11/2016;4000000.0;microempresarial
masculino;comercio;comidas rapidas;buenos aires;3;9.0;22/06/2018;7800000.0;microempresarial
masculino;servicio;mantenimiento en ;el vergel;2;80.0;13/02/2018;7800000.0;microempresarial
femenino;comercio;tienda;boyaca;3;5.0;23/05/2018;7800000.0;microempresarial
femenino;industria;fabrica de ;manrique central no. 2;3;3.0;23/02/2017;4000000.0;microempresarial
masculino;comercio;tienda;cabecera san antonio ;3;80.0;24/07/2017;4000000.0;microempresarial
